doi,pdf,status,reason,n_chunks
10.3389/fmars.2022.818501,10.3389_fmars.2022.818501.pdf,included,"grobid: 11 sections, 13 captions",83
10.3389/fmars.2022.884943,10.3389_fmars.2022.884943.pdf,included,"grobid: 15 sections, 13 captions",62
10.3389/fmars.2022.959375,10.3389_fmars.2022.959375.pdf,included,"grobid: 16 sections, 18 captions",124
10.3389/fmars.2023.1101469,10.3389_fmars.2023.1101469.pdf,included,"grobid: 16 sections, 11 captions",66
10.3389/fmars.2023.1110299,10.3389_fmars.2023.1110299.pdf,included,"grobid: 19 sections, 6 captions",73
10.3389/fmars.2023.1124580,10.3389_fmars.2023.1124580.pdf,included,"grobid: 10 sections, 8 captions",48
10.3389/fmars.2023.1128322,10.3389_fmars.2023.1128322.pdf,included,"grobid: 15 sections, 8 captions",68
10.3389/fmars.2023.1178330,10.3389_fmars.2023.1178330.pdf,included,"grobid: 10 sections, 7 captions",87
10.3389/fmars.2023.1182921,10.3389_fmars.2023.1182921.pdf,included,"grobid: 15 sections, 6 captions",84
10.3389/fmars.2023.1223766,10.3389_fmars.2023.1223766.pdf,included,"grobid: 10 sections, 5 captions",44
10.3389/fmars.2023.1233744,10.3389_fmars.2023.1233744.pdf,included,"grobid: 14 sections, 12 captions",59
10.3389/fmars.2023.1322367,10.3389_fmars.2023.1322367.pdf,included,"grobid: 15 sections, 3 captions",60
10.3389/fmars.2024.1344013,10.3389_fmars.2024.1344013.pdf,included,"grobid: 20 sections, 6 captions",70
10.3389/fmars.2024.1358851,10.3389_fmars.2024.1358851.pdf,included,"grobid: 23 sections, 4 captions",101
10.3389/fmars.2024.1379331,10.3389_fmars.2024.1379331.pdf,included,"grobid: 22 sections, 16 captions",94
10.3389/fmars.2025.1468734,10.3389_fmars.2025.1468734.pdf,included,"grobid: 23 sections, 12 captions",99
10.3389/fmars.2025.1539143,10.3389_fmars.2025.1539143.pdf,included,"grobid: 23 sections, 9 captions",89
10.3389/fmars.2025.1561347,10.3389_fmars.2025.1561347.pdf,included,"grobid: 12 sections, 9 captions",58
10.3389/fmars.2025.1619577,10.3389_fmars.2025.1619577.pdf,included,"grobid: 24 sections, 10 captions",73
10.3389/fmars.2025.1674859,10.3389_fmars.2025.1674859.pdf,included,"grobid: 17 sections, 8 captions",79
10.3389/fmars.2026.1743207,10.3389_fmars.2026.1743207.pdf,included,"grobid: 13 sections, 6 captions",57
10.3389/fmars.2026.1748431,10.3389_fmars.2026.1748431.pdf,included,"grobid: 23 sections, 14 captions",104
10.3389/fmars.2026.1765872,10.3389_fmars.2026.1765872.pdf,included,"grobid: 17 sections, 6 captions",59
10.3390/app14020557,10.3390_app14020557.pdf,included,"grobid: 19 sections, 30 captions",106
10.3390/d15020288,10.3390_d15020288.pdf,included,"grobid: 21 sections, 8 captions",65
10.3390/d18030163,10.3390_d18030163.pdf,included,"grobid: 29 sections, 8 captions",98
10.3390/en10121944,10.3390_en10121944.pdf,included,"grobid: 10 sections, 7 captions",51
10.3390/en12142833,10.3390_en12142833.pdf,included,"grobid: 9 sections, 9 captions",37
10.3390/en13143670,10.3390_en13143670.pdf,included,"grobid: 20 sections, 15 captions",93
10.3390/en14175428,10.3390_en14175428.pdf,included,"grobid: 20 sections, 16 captions",56
10.3390/en15238873,10.3390_en15238873.pdf,included,"grobid: 19 sections, 22 captions",90
10.3390/en16114316,10.3390_en16114316.pdf,included,"grobid: 21 sections, 21 captions",84
10.3390/en18164344,10.3390_en18164344.pdf,included,"grobid: 27 sections, 29 captions",102
10.3390/en18215631,10.3390_en18215631.pdf,included,"grobid: 9 sections, 13 captions",56
10.3390/geotechnics4020033,10.3390_geotechnics4020033.pdf,included,"grobid: 22 sections, 32 captions",104
10.3390/ijerph18052553,10.3390_ijerph18052553.pdf,included,"grobid: 13 sections, 22 captions",60
10.3390/ijgi9020096,10.3390_ijgi9020096.pdf,included,"grobid: 54 sections, 26 captions",147
10.3390/jmse11101924,10.3390_jmse11101924.pdf,included,"grobid: 17 sections, 15 captions",61
10.3390/jmse14010002,10.3390_jmse14010002.pdf,included,"grobid: 13 sections, 14 captions",51
10.3390/jmse7110399,10.3390_jmse7110399.pdf,included,"grobid: 57 sections, 15 captions",98
10.3390/resources3020454,10.3390_resources3020454.pdf,included,"grobid: 10 sections, 16 captions",52
10.3390/s21216998,10.3390_s21216998.pdf,included,"grobid: 22 sections, 23 captions",87
10.3390/su13042297,10.3390_su13042297.pdf,included,"grobid: 18 sections, 6 captions",67
10.3390/su8040333,10.3390_su8040333.pdf,included,"grobid: 19 sections, 2 captions",80
10.3390/vibration6020027,10.3390_vibration6020027.pdf,included,"grobid: 12 sections, 15 captions",64
10.3391/bir.2021.10.4.01,10.3391_bir.2021.10.4.01.pdf,included,"grobid: 11 sections, 11 captions",51
10.34080/os.v22.22593,10.34080_os.v22.22593.pdf,included,"grobid: 8 sections, 7 captions",29
10.34080/os.v32.22331,10.34080_os.v32.22331.pdf,included,"grobid: 6 sections, 12 captions",44
10.35378/gujs.734895,10.35378_gujs.734895.pdf,included,"grobid: 14 sections, 12 captions",45
10.37410/emerg.2020.3.04,10.37410_emerg.2020.3.04.pdf,included,"grobid: 8 sections, 12 captions",34
10.3750/aip2011.41.4.08,10.3750_aip2011.41.4.08.pdf,included,"grobid: 4 sections, 8 captions",38
10.3846/16486897.2013.800078,10.3846_16486897.2013.800078.pdf,included,"grobid: 7 sections, 2 captions",25
10.3850/38wc092019-5552,10.3850_38wc092019-5552.pdf,included,"grobid: 25 sections, 0 captions",34
10.3934/energy.2017.2.268,10.3934_energy.2017.2.268.pdf,included,"grobid: 10 sections, 16 captions",62
10.3934/energy.2018.6.967,10.3934_energy.2018.6.967.pdf,included,"grobid: 7 sections, 10 captions",31
10.3934/geosci.2019.2.66,10.3934_geosci.2019.2.66.pdf,included,"grobid: 9 sections, 12 captions",37
10.3934/geosci.2025021,10.3934_geosci.2025021.pdf,included,"grobid: 4 sections, 7 captions",34
10.3997/1873-0604.2017032,10.3997_1873-0604.2017032.pdf,included,"grobid: 11 sections, 4 captions",41
10.4043/30933-ms,10.4043_30933-ms.pdf,included,"grobid: 25 sections, 11 captions",60
10.4430/bgo00513,10.4430_bgo00513.pdf,included,"grobid: 12 sections, 8 captions",36
10.46544/ams.v27i3.20,10.46544_ams.v27i3.20.pdf,included,"grobid: 4 sections, 1 captions",51
10.4995/arqueologica8.2016.3554,10.4995_arqueologica8.2016.3554.pdf,included,"grobid: 10 sections, 15 captions",49
10.5194/acp-13-443-2013,10.5194_acp-13-443-2013.pdf,included,"grobid: 14 sections, 27 captions",100
10.5194/acp-19-6681-2019,10.5194_acp-19-6681-2019.pdf,included,"grobid: 6 sections, 14 captions",68
10.5194/adgeo-45-273-2018,10.5194_adgeo-45-273-2018.pdf,included,"grobid: 4 sections, 5 captions",32
10.5194/adgeo-56-141-2021,10.5194_adgeo-56-141-2021.pdf,included,"grobid: 5 sections, 9 captions",67
10.5194/adgeo-58-135-2023,10.5194_adgeo-58-135-2023.pdf,included,"grobid: 4 sections, 11 captions",58
10.5194/adgeo-62-41-2023,10.5194_adgeo-62-41-2023.pdf,included,"grobid: 5 sections, 11 captions",71
10.5194/adgeo-65-83-2024,10.5194_adgeo-65-83-2024.pdf,included,"grobid: 5 sections, 11 captions",90
10.5194/angeo-28-1043-2010,10.5194_angeo-28-1043-2010.pdf,included,"grobid: 9 sections, 6 captions",47
10.5194/asr-20-109-2023,10.5194_asr-20-109-2023.pdf,included,"grobid: 22 sections, 10 captions",79
10.5194/asr-22-59-2025,10.5194_asr-22-59-2025.pdf,included,"grobid: 8 sections, 8 captions",33
10.5194/bg-21-2547-2024,10.5194_bg-21-2547-2024.pdf,included,"grobid: 23 sections, 15 captions",88
10.5194/esd-13-1-2022,10.5194_esd-13-1-2022.pdf,included,"grobid: 64 sections, 10 captions",340
10.5194/esd-8-1223-2017,10.5194_esd-8-1223-2017.pdf,included,"grobid: 21 sections, 13 captions",71
10.5194/essd-17-6839-2025,10.5194_essd-17-6839-2025.pdf,included,"grobid: 19 sections, 11 captions",54
10.5194/esurf-9-1399-2021,10.5194_esurf-9-1399-2021.pdf,included,"grobid: 17 sections, 10 captions",93
10.5194/gmd-16-3553-2023,10.5194_gmd-16-3553-2023.pdf,included,"grobid: 11 sections, 19 captions",58
10.5194/gmd-17-4447-2024,10.5194_gmd-17-4447-2024.pdf,included,"grobid: 13 sections, 17 captions",84
10.5194/isprsarchives-xl-7-w3-959-2015,10.5194_isprsarchives-xl-7-w3-959-2015.pdf,included,"grobid: 10 sections, 11 captions",52
10.5194/nhess-8-1249-2008,10.5194_nhess-8-1249-2008.pdf,included,"grobid: 4 sections, 9 captions",40
10.5194/os-13-337-2017,10.5194_os-13-337-2017.pdf,included,"grobid: 13 sections, 11 captions",48
10.5194/sd-34-29-2025,10.5194_sd-34-29-2025.pdf,included,"grobid: 8 sections, 4 captions",46
10.5194/we-16-73-2016,10.5194_we-16-73-2016.pdf,included,"grobid: 7 sections, 4 captions",46
10.5194/wes-10-1101-2025,10.5194_wes-10-1101-2025.pdf,included,"grobid: 13 sections, 21 captions",94
10.5194/wes-10-1123-2025,10.5194_wes-10-1123-2025.pdf,included,"grobid: 12 sections, 12 captions",63
10.5194/wes-10-143-2025,10.5194_wes-10-143-2025.pdf,included,"grobid: 24 sections, 17 captions",84
10.5194/wes-10-1575-2025,10.5194_wes-10-1575-2025.pdf,included,"grobid: 25 sections, 14 captions",98
10.5194/wes-10-1887-2025,10.5194_wes-10-1887-2025.pdf,included,"grobid: 12 sections, 21 captions",70
10.5194/wes-10-245-2025,10.5194_wes-10-245-2025.pdf,included,"grobid: 15 sections, 16 captions",87
10.5194/wes-10-779-2025,10.5194_wes-10-779-2025.pdf,included,"grobid: 29 sections, 39 captions",138
10.5194/wes-11-1077-2026,10.5194_wes-11-1077-2026.pdf,included,"grobid: 15 sections, 14 captions",84
10.5194/wes-11-1803-2026,10.5194_wes-11-1803-2026.pdf,included,"grobid: 25 sections, 25 captions",99
10.5194/wes-11-443-2026,10.5194_wes-11-443-2026.pdf,included,"grobid: 21 sections, 26 captions",109
10.5194/wes-11-861-2026,10.5194_wes-11-861-2026.pdf,included,"grobid: 14 sections, 14 captions",114
10.5194/wes-4-451-2019,10.5194_wes-4-451-2019.pdf,included,"grobid: 13 sections, 19 captions",68
10.5194/wes-5-1705-2020,10.5194_wes-5-1705-2020.pdf,included,"grobid: 15 sections, 11 captions",42
10.5194/wes-5-29-2020,10.5194_wes-5-29-2020.pdf,included,"grobid: 22 sections, 15 captions",96
10.5194/wes-6-1455-2021,10.5194_wes-6-1455-2021.pdf,included,"grobid: 8 sections, 16 captions",78
10.5194/wes-6-521-2021,10.5194_wes-6-521-2021.pdf,included,"grobid: 18 sections, 12 captions",96
10.5194/wes-7-1069-2022,10.5194_wes-7-1069-2022.pdf,included,"grobid: 1 sections, 0 captions",2
10.5194/wes-7-1693-2022,10.5194_wes-7-1693-2022.pdf,included,"grobid: 12 sections, 15 captions",77
10.5194/wes-7-2373-2022,10.5194_wes-7-2373-2022.pdf,included,"grobid: 17 sections, 16 captions",85
10.5194/wes-7-2433-2022,10.5194_wes-7-2433-2022.pdf,included,"grobid: 19 sections, 21 captions",117
10.5194/wes-7-801-2022,10.5194_wes-7-801-2022.pdf,included,"grobid: 18 sections, 7 captions",49
10.5194/wes-8-125-2023,10.5194_wes-8-125-2023.pdf,included,"grobid: 12 sections, 16 captions",75
10.5194/wes-8-535-2023,10.5194_wes-8-535-2023.pdf,included,"grobid: 13 sections, 19 captions",99
10.5194/wes-8-621-2023,10.5194_wes-8-621-2023.pdf,included,"grobid: 14 sections, 16 captions",82
10.5194/wes-8-771-2023,10.5194_wes-8-771-2023.pdf,included,"grobid: 22 sections, 10 captions",85
10.5194/wes-9-1393-2024,10.5194_wes-9-1393-2024.pdf,included,"grobid: 23 sections, 22 captions",103
10.5194/wes-9-697-2024,10.5194_wes-9-697-2024.pdf,included,"grobid: 14 sections, 15 captions",88
10.5200/baltica.2015.28.15,10.5200_baltica.2015.28.15.pdf,included,"grobid: 7 sections, 5 captions",41
10.52202/077185-0152,10.52202_077185-0152.pdf,included,"grobid: 8 sections, 6 captions",42
10.5253/arde.v110i1.a8,10.5253_arde.v110i1.a8.pdf,included,"grobid: 14 sections, 8 captions",53
10.5278/ijsepm.3372,10.5278_ijsepm.3372.pdf,included,"grobid: 11 sections, 1 captions",50
10.5281/zenodo.17939186,10.5281_zenodo.17939186.pdf,included,"grobid: 6 sections, 10 captions",34
10.55802/ijb.029_3_.005,10.55802_ijb.029_3_.005.pdf,included,"grobid: 19 sections, 16 captions",81
10.5670/oceanog.2020.403,10.5670_oceanog.2020.403.pdf,included,"grobid: 19 sections, 7 captions",49
10.5670/oceanog.2020.404,10.5670_oceanog.2020.404.pdf,included,"grobid: 8 sections, 2 captions",42
10.5670/oceanog.2020.410,10.5670_oceanog.2020.410.pdf,included,"grobid: 14 sections, 4 captions",51
10.5751/es-05207-170432,10.5751_es-05207-170432.pdf,included,"grobid: 23 sections, 9 captions",76
10.6001/energetika.2023.69.1.2,10.6001_energetika.2023.69.1.2.pdf,included,"grobid: 10 sections, 11 captions",73
10.7225/toms.v14.n02.s08,10.7225_toms.v14.n02.s08.pdf,included,"grobid: 8 sections, 3 captions",33
10.7712/100016.2117.6772,10.7712_100016.2117.6772.pdf,included,"grobid: 15 sections, 11 captions",59
10.7712/120115.3465.1049,10.7712_120115.3465.1049.pdf,included,"grobid: 11 sections, 15 captions",59
10.7755/fb.123.1.5,10.7755_fb.123.1.5.pdf,included,"grobid: 17 sections, 4 captions",50
10.1007/3-540-33291-x_15,10.1007_3-540-33291-x_15.pdf,skipped,grobid_fail: GROBID returned 500 for PDFs\10.1007_3-540-33291-x_15.pdf: [NO_,0
10.1007/978-981-96-4569-5_48,10.1007_978-981-96-4569-5_48.pdf,skipped,grobid_fail: GROBID returned 500 for PDFs\10.1007_978-981-96-4569-5_48.pdf: ,0
10.1007/s00227-016-2918-7,10.1007_s00227-016-2918-7.pdf,skipped,grobid: parsed but produced no usable content,0
10.1016/j.enpol.2012.06.056,10.1016_j.enpol.2012.06.056.pdf,skipped,grobid: parsed but produced no usable content,0
10.1049/cp.2019.0258,10.1049_cp.2019.0258.pdf,skipped,grobid_fail: GROBID returned 500 for PDFs\10.1049_cp.2019.0258.pdf: [BAD_INP,0
10.1051/e3sconf_202020702014,10.1051_e3sconf_202020702014.pdf,skipped,grobid: parsed but produced no usable content,0
10.22449/1573-160x-2019-3-185-201,10.22449_1573-160x-2019-3-185-201.pdf,skipped,grobid_fail: GROBID returned 500 for PDFs\10.22449_1573-160x-2019-3-185-201.,0
